camera_role,distance_bin_m,n,used_in_solution_rate,useful_dist_angle_rate,useful_dist_angle_yaw_rate,distance_min_m,distance_max_m,distance_mean_m,abs_dist_err_mean_m,abs_dist_err_median_m,abs_dist_err_p90_m,abs_angle_err_mean_deg,abs_angle_err_median_deg,abs_angle_err_p90_deg,abs_yaw_err_mean_deg,abs_yaw_err_median_deg,abs_yaw_err_p90_deg
front,0-1,4,1,1,1,0.795,0.969,0.881,0.012,0.01,0.025,4.35,3.65,5.86,7.52,7.8,12.21
front,1-2,9,1,0.778,0.778,1.02,1.8,1.522,0.091,0.083,0.183,3.19,3,5.3,4.86,2,12.2
front,2-3,33,1,0.758,0.758,2.098,2.967,2.623,0.089,0.077,0.196,2.38,2,5.22,8.31,6.8,19.52
front,3-4,74,0.973,0.838,0.716,3.005,3.994,3.467,0.082,0.069,0.159,2.56,1.9,6.25,11.32,6.35,27.97
front,4-5,12,0.75,1,0.75,4.001,4.64,4.268,0.06,0.04,0.119,2.12,2.3,3.54,23.43,5.4,77.77
front,5-6,0,,,,,,,,,,,,,,,
front,>=6,0,,,,,,,,,,,,,,,
rear,0-1,3,1,0.667,0.667,0.591,0.804,0.696,0.064,0.062,0.087,3.63,0.9,7.7,6.6,6.8,11.6
rear,1-2,15,1,1,1,1.178,1.983,1.581,0.029,0.036,0.049,4.53,4.7,6.72,7.27,3.3,17.38
rear,2-3,11,1,0.909,0.909,2.115,2.713,2.327,0.034,0.028,0.067,5.92,6.5,8,8.64,6.7,18.7
rear,3-4,1,1,1,1,3.14,3.14,3.14,0.113,0.113,0.113,2.7,2.7,2.7,2.8,2.8,2.8
rear,4-5,0,,,,,,,,,,,,,,,
rear,5-6,0,,,,,,,,,,,,,,,
rear,>=6,0,,,,,,,,,,,,,,,
